Source,Target,Source_Links,Target_Links
https://www.via-ev.de/veranstaltungen/businessnight/1st,https://www.via-ev.de/veranstaltungen/businessnight/8th,51,170
https://www.via-ev.de/veranstaltungen/businessnight/1st,https://www.via-ev.de/veranstaltungen/businessnight/7th,51,170
https://www.via-ev.de/veranstaltungen/businessnight/1st,https://www.via-ev.de/veranstaltungen/businessnight/6th-2,51,170
https://www.via-ev.de/veranstaltungen/businessnight/1st,https://www.via-ev.de/veranstaltungen/businessnight/5th,51,170
https://www.via-ev.de/veranstaltungen/businessnight/1st,https://www.via-ev.de/veranstaltungen/businessnight/4th,51,170
https://www.via-ev.de/veranstaltungen/businessnight/1st,https://www.via-ev.de/veranstaltungen/businessnight/3rd,51,170
https://www.via-ev.de/veranstaltungen/businessnight/1st,https://www.via-ev.de/veranstaltungen/businessnight/2nd,51,170
https://www.via-ev.de/veranstaltungen/businessnight/1st,https://www.via-ev.de/veranstaltungen/businessnight/1st,51,170
https://www.via-ev.de/veranstaltungen/businessnight/1st,https://www.via-ev.de/veranstaltungen/sommerfest,51,170
https://www.via-ev.de/veranstaltungen/businessnight/1st,https://www.via-ev.de/veranstaltungen/akt-2014,51,170
https://www.via-ev.de/veranstaltungen/businessnight/1st,https://www.via-ev.de/medien,51,170
https://www.via-ev.de/veranstaltungen/businessnight/1st,https://www.via-ev.de/medien/die-idee,51,170
https://www.via-ev.de/veranstaltungen/businessnight/1st,https://www.via-ev.de/medien/aktuelles,51,170
https://www.via-ev.de/veranstaltungen/businessnight/1st,https://www.via-ev.de/medien/zahlen-daten-fakten,51,170
https://www.via-ev.de/veranstaltungen/businessnight/1st,https://www.via-ev.de/medien/publikationen,51,170
https://www.via-ev.de/veranstaltungen/businessnight/1st,https://www.via-ev.de/medien/publikationen/geschaeftsklimastudie,51,170
https://www.via-ev.de/veranstaltungen/businessnight/1st,https://www.via-ev.de/medien/publikationen/green-controlling,51,170
https://www.via-ev.de/veranstaltungen/businessnight/1st,https://www.via-ev.de/medien/publikationen/akademiker-recruiting,51,170
https://www.via-ev.de/veranstaltungen/businessnight/1st,https://www.via-ev.de/medien/publikationen/corporate-social-responsibility,51,170
https://www.via-ev.de/veranstaltungen/businessnight/1st,https://www.via-ev.de/medien/publikationen/ttip-nrws-unternehmen-im-aufbruch,51,170
https://www.via-ev.de/veranstaltungen/businessnight/1st,https://www.via-ev.de/medien/ein-beispielprojekt,51,170
https://www.via-ev.de/veranstaltungen/businessnight/1st,https://www.via-ev.de/karriere,51,170
https://www.via-ev.de/veranstaltungen/businessnight/1st,https://www.via-ev.de/karriere/bewerben,51,170
https://www.via-ev.de/veranstaltungen/businessnight/1st,https://www.via-ev.de/termine,51,170
https://www.via-ev.de/veranstaltungen/businessnight/1st,https://www.via-ev.de/karriere/faqs,51,170
https://www.via-ev.de/veranstaltungen/businessnight/1st,https://www.via-ev.de/kontakt,51,170
https://www.via-ev.de/veranstaltungen/businessnight/1st,https://www.via-ev.de/kontakt/anfahrt,51,170
https://www.via-ev.de/veranstaltungen/businessnight/1st,https://www.via-ev.de/kontakt/impressum,51,170
https://www.via-ev.de/veranstaltungen/businessnight/1st,http://www.via-ev.de,51,170
https://www.via-ev.de/veranstaltungen/businessnight/1st,http://www.via-ev.de/leistungen,51,170
https://www.via-ev.de/veranstaltungen/businessnight/1st,http://www.via-ev.de/leistungen/projektablauf,51,170
https://www.via-ev.de/veranstaltungen/businessnight/1st,http://www.via-ev.de/leistungen/referenzen,51,170
https://www.via-ev.de/veranstaltungen/businessnight/1st,http://www.via-ev.de/karriere/bewerben,51,170
https://www.via-ev.de/veranstaltungen/businessnight/1st,http://www.via-ev.de/kontakt/impressum,51,170
https://www.via-ev.de/medien/aktuelles,https://www.via-ev.de,71,170
https://www.via-ev.de/medien/aktuelles,https://www.via-ev.de/via,71,170
https://www.via-ev.de/medien/aktuelles,https://www.via-ev.de/via/organisation,71,170
https://www.via-ev.de/medien/aktuelles,https://www.via-ev.de/kontakt/impressum/vorstand,71,170
https://www.via-ev.de/medien/aktuelles,https://www.via-ev.de/via/ressorts,71,170
https://www.via-ev.de/medien/aktuelles,https://www.via-ev.de/via/qualitaet,71,170
https://www.via-ev.de/medien/aktuelles,https://www.via-ev.de/leistungen,71,170
https://www.via-ev.de/medien/aktuelles,https://www.via-ev.de/leistungen/projektablauf,71,170
https://www.via-ev.de/medien/aktuelles,https://www.via-ev.de/leistungen/projektmanagement-standard,71,170
https://www.via-ev.de/medien/aktuelles,https://www.via-ev.de/leistungen/referenzen,71,170
https://www.via-ev.de/medien/aktuelles,https://www.via-ev.de/netzwerke,71,170
https://www.via-ev.de/medien/aktuelles,https://www.via-ev.de/verbaende,71,170
https://www.via-ev.de/medien/aktuelles,https://www.via-ev.de/kuratoren,71,170
https://www.via-ev.de/medien/aktuelles,https://www.via-ev.de/kooperationspartner,71,170
https://www.via-ev.de/medien/aktuelles,https://www.via-ev.de/alumni,71,170
https://www.via-ev.de/medien/aktuelles,https://www.via-ev.de/veranstaltungen,71,170
https://www.via-ev.de/medien/aktuelles,https://www.via-ev.de/veranstaltungen/businessnight,71,170
https://www.via-ev.de/medien/aktuelles,https://www.via-ev.de/veranstaltungen/businessnight/8th,71,170
https://www.via-ev.de/medien/aktuelles,https://www.via-ev.de/veranstaltungen/businessnight/7th,71,170
https://www.via-ev.de/medien/aktuelles,https://www.via-ev.de/veranstaltungen/businessnight/6th-2,71,170
https://www.via-ev.de/medien/aktuelles,https://www.via-ev.de/veranstaltungen/businessnight/5th,71,170
https://www.via-ev.de/medien/aktuelles,https://www.via-ev.de/veranstaltungen/businessnight/4th,71,170
https://www.via-ev.de/medien/aktuelles,https://www.via-ev.de/veranstaltungen/businessnight/3rd,71,170
https://www.via-ev.de/medien/aktuelles,https://www.via-ev.de/veranstaltungen/businessnight/2nd,71,170
https://www.via-ev.de/medien/aktuelles,https://www.via-ev.de/veranstaltungen/businessnight/1st,71,170
https://www.via-ev.de/medien/aktuelles,https://www.via-ev.de/veranstaltungen/sommerfest,71,170
https://www.via-ev.de/medien/aktuelles,https://www.via-ev.de/veranstaltungen/akt-2014,71,170
https://www.via-ev.de/medien/aktuelles,https://www.via-ev.de/medien,71,170
https://www.via-ev.de/medien/aktuelles,https://www.via-ev.de/medien/die-idee,71,170
https://www.via-ev.de/medien/aktuelles,https://www.via-ev.de/medien/aktuelles,71,170
https://www.via-ev.de/medien/aktuelles,https://www.via-ev.de/medien/zahlen-daten-fakten,71,170
https://www.via-ev.de/medien/aktuelles,https://www.via-ev.de/medien/publikationen,71,170
https://www.via-ev.de/medien/aktuelles,https://www.via-ev.de/medien/publikationen/geschaeftsklimastudie,71,170
https://www.via-ev.de/medien/aktuelles,https://www.via-ev.de/medien/publikationen/green-controlling,71,170
https://www.via-ev.de/medien/aktuelles,https://www.via-ev.de/medien/publikationen/akademiker-recruiting,71,170
https://www.via-ev.de/medien/aktuelles,https://www.via-ev.de/medien/publikationen/corporate-social-responsibility,71,170
https://www.via-ev.de/medien/aktuelles,https://www.via-ev.de/medien/publikationen/ttip-nrws-unternehmen-im-aufbruch,71,170
https://www.via-ev.de/medien/aktuelles,https://www.via-ev.de/medien/ein-beispielprojekt,71,170
https://www.via-ev.de/medien/aktuelles,https://www.via-ev.de/karriere,71,170
https://www.via-ev.de/medien/aktuelles,https://www.via-ev.de/karriere/bewerben,71,170
https://www.via-ev.de/medien/aktuelles,https://www.via-ev.de/termine,71,170
https://www.via-ev.de/medien/aktuelles,https://www.via-ev.de/karriere/faqs,71,170
https://www.via-ev.de/medien/aktuelles,https://www.via-ev.de/kontakt,71,170
https://www.via-ev.de/medien/aktuelles,https://www.via-ev.de/kontakt/anfahrt,71,170
https://www.via-ev.de/medien/aktuelles,https://www.via-ev.de/kontakt/impressum,71,170
https://www.via-ev.de/medien/aktuelles,https://www.via-ev.de/2016/07,71,170
https://www.via-ev.de/medien/aktuelles,https://www.via-ev.de/prozessoptimierung-fuer-die-postbank-akademie,71,170
https://www.via-ev.de/medien/aktuelles,https://www.via-ev.de/2016/01,71,170
https://www.via-ev.de/medien/aktuelles,https://www.via-ev.de/projektvorstellung-bei-consulting-de,71,170
https://www.via-ev.de/medien/aktuelles,https://www.via-ev.de/2015/12,71,170
https://www.via-ev.de/medien/aktuelles,https://www.via-ev.de/ttip-studie-veroeffentlicht,71,170
https://www.via-ev.de/medien/aktuelles,https://www.via-ev.de/neuer-kurator-der-ruhr-universitaet-bochum,71,170
https://www.via-ev.de/medien/aktuelles,https://www.via-ev.de/2015/11,71,170
https://www.via-ev.de/medien/aktuelles,https://www.via-ev.de/herbstkongress-in-heidelberg,71,170
https://www.via-ev.de/medien/aktuelles,https://www.via-ev.de/2015/10,71,170
https://www.via-ev.de/medien/aktuelles,https://www.via-ev.de/7-businessnight,71,170
https://www.via-ev.de/medien/aktuelles,https://www.via-ev.de/2015/09,71,170
https://www.via-ev.de/medien/aktuelles,https://www.via-ev.de/neuer-kurator-4flow,71,170
https://www.via-ev.de/medien/aktuelles,https://www.via-ev.de/2015/08,71,170
https://www.via-ev.de/medien/aktuelles,https://www.via-ev.de/der-projektmanagement-standard-nun-online-abrufbar,71,170
https://www.via-ev.de/medien/aktuelles,https://www.via-ev.de/2015/07,71,170
https://www.via-ev.de/medien/aktuelles,https://www.via-ev.de/neue-kuratorin-der-ruhr-universitaet-bochum,71,170
https://www.via-ev.de/medien/aktuelles,https://www.via-ev.de/neuer-kooperationspartner-37celsius-advisory,71,170
https://www.via-ev.de/medien/aktuelles,https://www.via-ev.de/medien/aktuelles/page/2,71,170
https://www.via-ev.de/medien/aktuelles,https://www.via-ev.de/medien/aktuelles/page/3,71,170
https://www.via-ev.de/medien/aktuelles,http://www.via-ev.de,71,170
https://www.via-ev.de/medien/aktuelles,http://www.via-ev.de/leistungen,71,170
https://www.via-ev.de/medien/aktuelles,http://www.via-ev.de/leistungen/projektablauf,71,170
https://www.via-ev.de/medien/aktuelles,http://www.via-ev.de/leistungen/referenzen,71,170
https://www.via-ev.de/medien/aktuelles,http://www.via-ev.de/karriere/bewerben,71,170
https://www.via-ev.de/medien/aktuelles,http://www.via-ev.de/kontakt/impressum,71,170
https://www.via-ev.de/medien/publikationen/ttip-nrws-unternehmen-im-aufbruch,https://www.via-ev.de,52,170
https://www.via-ev.de/medien/publikationen/ttip-nrws-unternehmen-im-aufbruch,https://www.via-ev.de/via,52,170
https://www.via-ev.de/medien/publikationen/ttip-nrws-unternehmen-im-aufbruch,https://www.via-ev.de/via/organisation,52,170
